,ENTITY,STORY,YEAR,ORGANISATION,METHOD OF LEAK,NO OF RECORDS STOLEN,DATA SENSITIVITY,SOURCE NAME
160,Adobe,"Sep 17th 2013. Hackers obtained access to a large swathe of Adobe customer IDs and encrypted passwords & removed sensitive information (i.e. names, encrypted credit or debit card numbers, expiration dates, etc.). Approximately 36 million Adobe customers were involved: 3.1 million whose credit or debit card information was taken and nearly 33 million active users whose current, encrypted passwords were in the database taken. Correction Jan 2015: we previously reported 152m records were taking, but the remainder affected invalid, inactive, test accounts or had out-of-date passwords associated with them.",2013,tech,hacked,36000000,50000,
161,Evernote,"Evernote asked its 50 million users to reset their passwords following an attempt to hack the note-taking network. The company said it’d found no evidence that any payment information for Evernote Premium or Evernote Business customers had been accessed, nor was there any indication that content stored by users had been accessed, changed or lost.",2013,web,hacked,50000000,1,Wired; Digital Trends
162,Living Social,"Online criminals gained access to user names, e-mail addresses, dates of birth & encrypted passwords for 50 million people. Databases storing financial information were not compromised in the attack, the company said.",2013,web,hacked,50000000,1,Naked Security; New York Times
163,UbiSoft,,2013,gaming,hacked,58000000,20,
164,Yahoo,"Happened in 2013 but only disclosed late 2016. Data included names, telephone numbers, DOBs, passwords and security questions. ",2013,web,hacked,1000000000,20,
165,Tumblr,"Tumblr apparently only just found out about a 2013 data breach, affecting 65m users. ",2013,web,hacked,65000000,1,
166,New York Taxis,"A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was incorrectly anonymised and relatively easy to decode, revealing the driver IDs, pickup & dropoff times, and GPS routes taken for every single cab journey.",2014,transport,poor security,52000,1,
167,NASDAQ,"Nasdaq forum website hacked by hacking ring, email addresses and passwords compromised",2014,financial,hacked,500000,1,
168,Dominios Pizzas (France),,2014,web,hacked,600000,1,
169,Japan Airlines,"Oct 2014: Japan Airlines confirmed the possible theft of information from up to around 750,000 frequent-flier programme members. Data that may have been stolen included names, genders, birth dates, addresses, email addresses and places of work.",2014,transport,hacked,800000,20,
170,Mozilla,,2014,web,poor security,800000,20,
171,MacRumours.com,,2014,web,hacked,900000,1,
172,"D&B, Altegrity","Hackers stole millions of social security numbers from large US data brokers Dun & Bradstreet Corp and Kroll Background America Inc, owned by Altegrity. Correction 7 Jan 2015: we previously stated that records were stolen from LexisNexis. LexisNexis conducted a thorough investigation of the malware intrusion and found no evidence that the malware accessed or stole any customer or consumer data. ",2014,tech,hacked,1000000,300,USA Today; Reuters; BBC News
173,Neiman Marcus,,2014,retail,hacked,1100000,20,
174,Staples,,2014,retail,hacked,1200000,300,
175,European Central Bank,,2014,financial,hacked,4000000,1,
176,UPS,Malware was discovered in the credit & debit card processing systems at 51 branches in 24 states.,2014,retail,hacked,4000000,300,
177,Community Health Systems,"Aug 2014: Community Health Systems, which operates 206 hospitals across the US, had patient data from the last 5 years breached. Details included names, addresses, social security numbers. Suspected ""chinese hackers"" were thought responsible. Goal: identity theft.",2014,healthcare,hacked,4500000,20,
178,"""Gmail""","5 million Gmail account passwords leaked to a forum, alongside passwords from other email providers. Close inspection revealed the user details to be old (3+ years). Multiple individual targeted hacks of third party websites where people used their Gmail IDs, rather than one big dataleak, suspected to be the method. Gmail itself was not hacked. ",2014,web,hacked,5000000,1,
179,Sony Pictures,"Wide-ranging hack of potentially every piece of data held by the company, including: unreleased films & scripts, employee social security numbers, salaries and health check results, as well as sensitive internal business documents relating to lay-offs, restructures and executive salaries. Lead suspects are ""North Korean hackers"" perhaps related to the Seth Rogen film, ""The Interview"" which mocks the North Korean dictator, Kim Jong Un.",2014,media,hacked,10000000,20,
180,Twitch.tv,March 23rd. Details unknown at this point. All Twitch's 10 million users have been requested to change their passwords.,2014,healthcare,hacked,10000000,1,
181,Korea Credit Bureau,,2014,financial,inside job,20000000,50000,
182,AOL,,2014,web,hacked,24000000,1,
183,Home Depot,"Malware installed on cash register system across 2,200 stores syphoned credit card details of up to 56 million customers. May be the same group of Russian and Ukrainian hackers responsible for the data breaches at Target, Sally Beauty and P.F. Chang’s, among others",2014,retail,hacked,56000000,300,
184,Target,Investigators believe the data was obtained via software installed on machines that customers use to swipe magnetic strips on their cards when paying for merchandise at Target stores. Originally 40m customers. Now 70m!,2014,retail,hacked,70000000,300,ITRC
185,JP Morgan Chase,"July 2014: The US's largest bank was compromised by hackers, stealing names, addresses, phone numbers and emails of account holders. The hack began in June but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege to dozens of the bank’s computer servers.",2014,financial,hacked,76000000,300,
186,Ebay,The company has said hackers attacked between late February and early March with login credentials obtained from “a small number” of employees. They then accessed a database containing all user records and copied “a large part” of those credentials.,2014,web,hacked,145000000,1,
187,Yahoo,"Happened in 2014, but no. records stolen was originally thought to be much smaller. Yahoo recently revealed the real numbers.",2014,web,hacked,500000000,20,
188,Invest Bank,"Hacker breached a United Arab Emirates bank, demanding a ransom of $3m in bitcoin to stop tweeting data, mostly about corporate accounts. The hacker dumped files on the website of a basketball team, which he hacked for storage. The bank, Invest Bank, won't pay the ransom.  ",2015,financial,hacked,40000,50000,
189,Uber,"Occured Sep 2014. Revealed Feb 2015. Names & license plates of 50,000 driver partners.",2015,tech,poor security,50000,1,
190,IRS,"""An unnamed cybermafia used an IRS app to download forms full of personal information. They posed as legitimate taxpayers, and tried to download forms on 200,000 people between February and May. They got away with half of them, the IRS said. The crooks used about 15,000 of them to claim tax refunds in other people's names.""",2015,government,hacked,100000,1,
191,TalkTalk,"157k customers had personal details stolen, including 15,600 account numbers. ",2015,web,hacked,160000,20,
192,MSpy,"Data dump to the dark web ""includes Apple IDs and passwords, tracking data, and payment details on some 145,000 successful transactions"", photos and very private conversations.",2015,tech,hacked,400000,20,
193,Australian Immigration Department,"An employee of the agency inadvertently sent the passport numbers, visa details and other personal identifiers of all world leaders attending the G20 Brisbane summit to the organisers of the Asian Cup football tournament. Barack Obama, Vladimir Putin, Angela Merkel, Xi Jinping, Narendra Modi, David Cameron and many others.",2015,government,accidentally published,500000,50000,
194,British Airways,,2015,retail,hacked,500000,1,
195,Hacking Team,"Italian cybersecurity firm sells digital surveillance software to law enforcement and national security organisations. 400 GB of documents - including software source code, private messages & client databases - has been stolen and put online  via BitTorrent. The documents show the company has sold products to repressive regimes.",2015,web,hacked,500000,50000,The Guardian
196,Slack,,2015,tech,hacked,500000,1,
197,Carefirst,Attacked happened in June 2014. Was announced in June 2015.,2015,healthcare,hacked,1100000,1,
198,CarPhone Warehouse,,2015,web,hacked,2700000,50000,
199,Sanrio,"Security researcher was able to access a database of 3.3m of Sanrio's Sanriotown.com accounts, with links to other Sanrio Hello Kitty portals.",2015,web,poor security,3300000,20,
200,Adult Friend Finder,"Sexual preferences, names, email addresses, usernames, dates of birth, postal codes",2015,web,hacked,3900000,1,
201,US Office of Personnel Management,"""The intruders... gained access to...employees’ Social Security numbers, job assignments, performance ratings and training information""",2015,government,hacked,4000000,20,
202,VTech,"Software used to download games to children's computer tablets was hacked, with personal info and photos stolen. ",2015,web,hacked,6400000,50000,
203,Premera,"Detected 29th Jan 2015. Occured May 2014. ""C could include names, date of birth, email address, address, telephone number, Social Security number, member identification numbers, bank account information, and claims information, including clinical information""",2015,healthcare,hacked,11000000,50000,
204,Kromtech,"A security researcher stumbled on a leak, which exposed usernames, email addresses and passwords of users. He notified Kromtech, who patched it quickly. ",2015,web,hacked,13000000,1,
205,Experian / T-mobile,"The world's biggest data monitoring firm disclosed a massive breach of customers who applied for service with T-Mobile. Names, addresses, birth dates, Social Security numbers, drivers license numbers and passport numbers.",2015,web,hacked,15000000,300,
206,US Office of Personnel Management (2nd Breach),"attackers have targeted the forms submitted by intelligence and military personnel for security clearances. The document includes personal information - everything from eye colour, to financial history, to past substance abuse, as well as contact details for the individual's friends and relatives",2015,government,hacked,21500000,50000,
207,AshleyMadison.com,"20th July 2015: DEVELOPING: Online hookup site for extra-marital affairs has been severely breached and the personal details of 37m users, as well as company financial records, threatened with release. Notorious hacking outfit The Impact Team has claimed responsibility. The hackers are demanding the shutdown of AM.com and other associated sites.",2015,web,hacked,37000000,1,
208,Securus Technologies,"Anonymous hacker leaked records of over 70m phone calls, plus links to recordings. Recording/storing attorney-client calls potentially violates constitutional protections.",2015,web,hacked,70000000,50000,
209,Deep Root Analytics,A database of 198 million US voters has been exposed as a result of incorrect configuration. ,2015,web,poor security,198000000,20,"Reuters, UpGuard"
210,Syrian government,"Hacking outfit calling itself 'Cyber Justice Team' leaked 10GB of data from the government and private websites. Seems to be just data from old leaks, though.",2016,government,hacked,274477,1,
211,Minecraft,Players using the Lifeboat servers have had their email addresses and passwords leaked.,2016,web,hacked,7000000,1,
212,Mossack Fonseca,"2.6TB of data on politicians, criminals, professional athletes etc leaked from law firm Mossack Fonseca, including emails, contracts, scanned documents, transcripts...",2016,legal,hacked,11500000,50000,
213,Mail. ru,Two hackers attacked three game-related forums hosted by Russian company Mail.ru. ,2016,web,hacked,25000000,20,
214,Fling,"A hacker claims to be selling info on sexual desires & preferences, as well as generic personal info, stolen from the dating site Fling. ",2016,web,hacked,40000000,4000,
215,Turkish citizenship database,Turkish citizenship database has allegedly been hacked and leaked online.,2016,government,hacked,49611709,20,
216,Philippines’ Commission on Elections,"After a message was posted on the COMELEC website by hackers from Anonymous, warning the government not to mess with the elections, the entire database was stolen and posted online. ",2016,government,hacked,55000000,50000,
217,Anthem ,"Feb 2015: Names, dates of birth, member ID/ social security numbers, addresses, phone numbers, email addresses and employment information.",2016,healthcare,hacked,80000000,20,
218,VK,"Over 100m user accounts were hacked and the data put up for sale online. A VK spokesperson has denied that the site was breached, claiming the data for sale is old details no longer in use.",2016,web,hacked,100544934,4000,
219,Wendy's,Malware has been used in 1025 of Wendy's restaurants to steal credit card data from customers. It's currently unknown how many individuals have been impacted.,2016,retail,hacked,1025,300,
220,Mutuelle Generale de la Police,Files uploaded to Google Drive by a 'malicious' employee. Data included home addresses. The leak came two weeks after a French police officer was murdered by ISIS-inspired attack.,2016,healthcare,inside job,112000,50000,
221,MySpace,"The same hacker who was selling LinkedIn user data now claims to have MySpace user data too, and lots of it. ",2016,web,hacked,164000000,1,
222,Linux Ubuntu forums,,2016,web,hacked,2000000,1,
223,World Check,"2014 version of World-Check, a database of suspected terrorists and criminals, leaked online. It's unclear what data the records include.",2016,media,poor security,2200000,300,
224,uTorrent ,"It's unclear what data has been breached, exactly, but uTorrent has advised passwords are probably compromised. ",2016,web,hacked,35000,1,
225,Banner Health,Hackers gained access to payment card data via food outlets at Banner Health locations.,2016,healthcare,hacked,3700000,300,
226,Privatization Agency of the Republic of Serbia,A text file with personal data and financial documents were made publically available on their website. ,2016,government,accidentally published,519396,20,
227,Quest Diagnostics,"Nov. The stolen data contained names, DOBs, lab results and some telephone numbers.",2017,healthcare,hacked,34000,4000,
228,Three,"Hackers broke into Three's customer database with the intention of fraudulently ordering handsets to sell on. They stole personal details, but no financial records or passwords were stored on the hacked system. ",2017,telecoms,hacked,200000,20,
229,Wonga,Apr. Customers from the UK and Poland look to have been affected. ,2017,financial,hacked,270000,50000,
230,PayAsUGym,Dec. Fitness website hacked & email address published online.,2017,web,hacked,300000,1,
231,Red Cross Blood Service,Info leaked includes data about 'at risk sexual behaviours',2017,healthcare,accidentally published,550000,4000,
232,DaFont,"May. Apparently the hacker found out others were selling the site's database, so he decided to get in on the action himself.",2017,web,hacked,700000,4000,
233,Brazzers,"Sept. 'The data contains 790,724 unique email addresses, and also includes usernames and plaintext passwords. (The set has 928,072 entries in all, but many are duplicates.'",2017,web,hacked,790724,4000,
234,Snapchat,Apr. Indian hackers apparently leaked data they stole last year in response to Snapchat CEO allegedly stating they had no plans to expand to 'poor countries' like India. Snapchat have yet to confirm any leak.,2017,app,hacked,1700000,1,
235,Bell,Somebody claiming to be behind the attack has threatened Bell with more leaks if they don't cooporate. ,2017,telecoms,hacked,1900000,1,
236,Cellebrite,"Cellebrite's main product is a device that rips data from mobile phones. 900GB of data was stolen from Cellebrite. The hackers got hacked. The number of records taken is unknown. 
",2017,tech,hacked,3000000,20,
237,Clinton campaign,,2017,government,hacked,5000000,20,
238,ClixSense,"Sept. The information stolen contains usernames, passwords, home addresses, payment histories, and other banking details.",2017,web,hacked,6600000,50000,
239,Lynda.com,"Hackers breached a database that held records of contact info and courses viewed. No official statement yet on how many records were actually stolen, and no evidence yet of them having been published anywhere.",2017,web,hacked,9500000,1,
240,Interpark,July. South Korean police are blaming North Korea for stealing data in an attempt to obtain foreign currency. ,2017,web,hacked,10000000,20,
241,Zomato,The hacker is selling the stolen dataset for around $1000. ,2017,web,hacked,17000000,4000,
242,Yahoo,User accounts have been hacked using forged cookies to log in without a password over a 2 year period. ,2017,web,hacked,32000000,4000,
243,Weebly,"Feb. Usernames, passwords and IP addresses stolen, although passwords secured with bcrypt. ",2017,web,hacked,43000000,4000,
244,Dailymotion,"85.2m email addresses extracted, but only 18.3m had associated passwords.",2017,web,hacked,85200000,1,
245,Friend Finder Network,"Usernames, email addresses, passwords for sites including Adult Friend Finder and Penthouse.com. Passwords encrypted, but LeakedSource claims to be able to crack 99% of them.",2017,web,hacked,412000000,1,ZDNet / LeakedSource
246,River City Media,"A dodgy backup has allegedly resulted in over a billion leaked email addresses, plus other personal info in some cases, and has exposed RCM's business plans & operations. ",2017,web,accidentally published,700000000,20,
247,Telegram ,"Despite Telegram's claims of super security, they've been hacked by a group called Rocket Kitten. ",2017,tech,hacked,15000000,1,
248,Waterly,Jan 2017. Israel-based app contained a vulnerability in the sign-in process that could potentially expose user account details. The problem was fixed within 2 weeks of being identifiied. ,latest,app,poor security,1000000,300,
249,CEX,"A misconfigured spambot leaked full contact info & financial details, although the newest financial data dates to 2009. ",latest,retail,accidentally published,2000000,300,
250,Swedish Transport Agency,"Information about all vehicles in the country (including military and police), made available to IT workers who hadn't been through usual security checks. The question of whether or not Sweden's national security was harmed is censored in the Säpo (Sweden's security police) report.",latest,government,poor security,3000000,50000,
251,Instagram,"A bug exposed user's contact information. Instagram initially said it affected only verified accounts, but has now admitted non-verified users were also affected. Instagram hasn't confirmed numbers, but hackers say they have info from 6m accounts.",latest,web,hacked,6000000,1,
252,Equifax,"If you have a credit report, there’s a good chance that you’re one of the 143 million American consumers whose sensitive personal information was exposed in a data breach at Equifax, one of the nation’s three major credit reporting agencies.",latest,financial,hacked,143000000,50000,
253,Spambot,"A misconfigured spambot has leaked over 7m records, although many of them are likely to be fake or repeated accounts.",latest,web,poor security,711000000,4000,
