,ENTITY,STORY,YEAR,ORGANISATION,METHOD OF LEAK,NO OF RECORDS STOLEN,DATA SENSITIVITY,SOURCE NAME
158,Washington State court system,"Up to 160,000 Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting old versions of Adobe Cold Fusion software on the server. ",2013,government,hacked,160000,20,Reuters; Privacy Rights
159,Yahoo Japan,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its web portal Yahoo Japan. The leaked information did not include passwords and data necessary for identity verification to reset passwords.,2013,"tech, web",hacked,22000000,1,Reuters
160,AOL,,2014,web,hacked,24000000,1,
161,Dominios Pizzas (France),,2014,web,hacked,600000,1,
162,Ebay,The company has said hackers attacked between late February and early March with login credentials obtained from â€œa small numberâ€ù of employees. They then accessed a database containing all user records and copied â€œa large partâ€ù of those credentials.,2014,web,hacked,145000000,1,
163,European Central Bank,,2014,financial,hacked,4000000,1,
164,Korea Credit Bureau,,2014,financial,inside job,20000000,50000,
165,"D&B, Altegrity","Hackers stole millions of social security numbers from large US data brokers Dun & Bradstreet Corp and Kroll Background America Inc, owned by Altegrity. Correction 7 Jan 2015: we previously stated that records were stolen from LexisNexis. LexisNexis conducted a thorough investigation of the malware intrusion and found no evidence that the malware accessed or stole any customer or consumer data. ",2014,tech,hacked,1000000,300,USA Today; Reuters; BBC News
166,MacRumours.com,,2014,web,hacked,860000,1,
167,NASDAQ,"Nasdaq forum website hacked by hacking ring, email addresses and passwords compromised",2014,financial,hacked,500000,1,
168,Neiman Marcus,,2014,retail,hacked,1100100,20,
169,New York Taxis,"A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was incorrectly anonymised and relatively easy to decode, revealing the driver IDs, pickup & dropoff times, and GPS routes taken for every single cab journey.",2014,transport,poor security,52000,1,
170,Target,Investigators believe the data was obtained via software installed on machines that customers use to swipe magnetic strips on their cards when paying for merchandise at Target stores. Originally 40m customers. Now 70m!,2014,retail,hacked,70000000,200,ITRC
171,UPS,Malware was discovered in the credit & debit card processing systems at 51 branches in 24 states.,2014,retail,hacked,4000000,300,
172,"420,000 websites","Well, this breaks our scaling algorithm. A crime ring of fewer than a dozen men from South-Central Russia responsible for breach of 420,000 websites. 4.5 billion records total, including 1.2 billion user names & passwords & 542 million email addresses. ",2014,web,hacked,160000000,1,
173,Staples,,2015,transport,hacked,1160000,300,
174,Sony Pictures,"Wide-ranging hack of potentially every piece of data held by the company, including: unreleased films & scripts, employee social security numbers, salaries and health check results, as well as sensitive internal business documents relating to lay-offs, restructures and executive salaries. Lead suspects are ""North Korean hackers"" perhaps related to the Seth Rogen film, ""The Interview"" which mocks the North Korean dictator, Kim Jong Un.",2015,media,hacked,10000000,4,
175,Japan Airlines,"Oct 2014: Japan Airlines confirmed the possible theft of information from up to around 750,000 frequent-flier programme members. Data that may have been stolen included names, genders, birth dates, addresses, email addresses and places of work.",2015,transport,hacked,"750,000",20,
176,JP Morgan Chase,"July 2014: The US's largest bank was compromised by hackers, stealing names, addresses, phone numbers and emails of account holders. The hack began in June but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege to dozens of the bankâ€™s computer servers.",2015,financial,hacked,76000000,300,
177,Community Health Services,"Aug 2014: Community Health Systems, which operates 206 hospitals across the US, had patient data from the last 5 years breached. Details included names, addresses, social security numbers. Suspected ""chinese hackers"" were thought responsible. Goal: identity theft.",2015,healthcare,hacked,4500000,20,
178,Gmail,"5 million Gmail account passwords leaked to a forum, alongside passwords from other email providers. Close inspection revealed the user details to be old (3+ years). Multiple individual targeted hacks of third party websites where people used their Gmail IDs, rather than one big dataleak, suspected to be the method. Gmail itself was not hacked. ",2015,web,hacked,5000000,1,
179,Home Depot,"Malware installed on cash register system across 2,200 stores syphoned credit card details of up to 56 million customers. May be the same group of Russian and Ukrainian hackers responsible for the data breaches at Target, Sally Beauty and P.F. Changâ€™s, among others",2015,retail,hacked,56000000,300,
180,Mozilla,,2015,web,poor security,760000,20,
181,Sony Pictures,"Wide-ranging hack of potentially every piece of data held by the company, including: unreleased films & scripts, employee social security numbers, salaries and health check results, as well as sensitive internal business documents relating to lay-offs, restructures and executive salaries. Lead suspects are ""North Korean hackers"" perhaps related to the Seth Rogen film, ""The Interview"" which mocks the North Korean dictator, Kim Jong Un.",2015,media,hacked,10000000,4,
182,Experian / T-mobile,"The world's biggest data monitoring firm disclosed a massive breach of customers who applied for service with T-Mobile. Names, addresses, birth dates, Social Security numbers, drivers license numbers and passport numbers.",2016,web,hacked,"15,000,000",3,
183,CarPhone Warehouse,,2016,web,hacked,"2,700,000",5,
184,AshleyMadison.com,"20th July 2015: DEVELOPING: Online hookup site for extra-marital affairs has been severely breached and the personal details of 37m users, as well as company financial records, threatened with release. Notorious hacking outfit The Impact Team has claimed responsibility. The hackers are demanding the shutdown of AM.com and other associated sites.",2016,web,hacked,"37,000,000",4,
185,US Office of Personnel Management (2nd Breach),"attackers have targeted the forms submitted by intelligence and military personnel for security clearances. The document includes personal information - everything from eye colour, to financial history, to past substance abuse, as well as contact details for the individual's friends and relatives",2016,government,hacked,"14,000,000",3,
186,IRS,"""An unnamed cybermafia used an IRS app to download forms full of personal information. They posed as legitimate taxpayers, and tried to download forms on 200,000 people between February and May. They got away with half of them, the IRS said. The crooks used about 15,000 of them to claim tax refunds in other people's names.""",2016,government,poor security,"100,000",1,
187,Adult Friend Finder,"Sexual preferences, names, email addresses, usernames, dates of birth, postal codes",2016,web,hacked,"3,900,000",1,
188,MSpy,"Data dump to the dark web ""includes Apple IDs and passwords, tracking data, and payment details on some 145,000 successful transactions"", photos and very private conversations.",2016,tech,hacked,"400,000",3,
189,Australian Immigration Department,"An employee of the agency inadvertently sent the passport numbers, visa details and other personal identifiers of all world leaders attending the G20 Brisbane summit to the organisers of the Asian Cup football tournament. Barack Obama, Vladimir Putin, Angela Merkel, Xi Jinping, Narendra Modi, David Cameron and many others.",2016,government,accidentally published,"500,000",5,
190,British Airways,,2016,retail,hacked,500000,1,
191,LastPass,Email addresses and password compromised.,2016,web,hacked,"7,000,000",4,
192,Hacking Team,"Italian cybersecurity firm sells digital surveillance software to law enforcement and national security organisations. 400 GB of documents - including software source code, private messages & client databases - has been stolen and put online  via BitTorrent. The documents show the company has sold products to repressive regimes.",2016,web,hacked,500000,5,
193,TalkTalk,"157k customers had personal details stolen, including 15,600 account numbers. ",2016,web,hacked,157000,2,
194,Securus Technologies,"Anonymous hacker leaked records of over 70m phone calls, plus links to recordings. Recording/storing attorney-client calls potentially violates constitutional protections.",2016,web,hacked,"70,000,000",5,
195,Invest Bank,"Hacker breached a United Arab Emirates bank, demanding a ransom of $3m in bitcoin to stop tweeting data, mostly about corporate accounts. The hacker dumped files on the website of a basketball team, which he hacked for storage. The bank, Invest Bank, won't pay the ransom.  ",2016,banking,hacked,"40,000",5,
196,Kromtech,"A security researcher stumbled on a leak, which exposed usernames, email addresses and passwords of users. He notified Kromtech, who patched it quickly. ",2016,web,leak,"13,000,000",1,
197,VTech,"Software used to download games to children's computer tablets was hacked, with personal info and photos stolen. Of the 11.6m stolen records, 6.4m were those of children.",2016,web,poor security,"6,400,000",5,
198,Sanrio,"Security researcher was able to access a database of 3.3m of Sanrio's Sanriotown.com accounts, with links to other Sanrio Hello Kitty portals.",2016,web,configuration error,"3,300,000",2,
199,US Voter Database,A database of 191 million US voters has been exposed as a result of incorrect configuration. The owner of the database is yet to be identified. The feds are on it. ,2016,web,configuration error,"191,000,000",2,
200,Time Warner Cable,"The FBI notfied Time Warner Cable about the breach. As yet they don't know how it happened, but suspect malware or third party breaches. ",2016,web,unknown,"320,000",1,
201,Anthem,Anthem failed to encrypt the stock of personal info it held. It took them 6 weeks to realise they'd been hacked. ,2016,web,hacked,"80,000,000",4,
202,Premera Blue Cross,Medical and financial data exposed. ,2016,web,hacked,"11,000,000",4,
203,Snapchat,Current and former employees had their identities compromised by a cyber attack.,2016,web,hacked,unannounced,5,
204,Code.org,Volunteer email addresses were left accessible via web browser. ,2016,web,poor security,10,1,
205,Verizon,Customer database and information about company's security flaws stolen and put up for sale. ,2016,web,hacked,"10,000",1,
206,Mossack Fonseca,"2.6TB of data on politicians, criminals, professional athletes etc leaked from law firm Mossack Fonseca, including emails, contracts, scanned documents, transcripts...",2016,law firm,leak,"11,500,000",5,
207,Turkish citizenship database,Turkish citizenship database has allegedly been hacked and leaked online.,2016,government,leak,"49,611,709",2,
208,National Childbirth Trust,London-based charity hacked for user information. ,2016,web,hacked,"15,000",1,
209,Syrian government,"Hacking outfit calling itself 'Cyber Justice Team' leaked 10GB of data from the government and private websites. Seems to be just data from old leaks, though.",2016,government,hacked,"274,477",1,
210,Philippinesâ€™ Commission on Elections,"After a message was posted on the COMELEC website by hackers from Anonymous, warning the government not to mess with the elections, the entire database was stolen and posted online. ",2016,government,hacked,"55,000,000",5,
